target_id,target_name,incident_year,incident_type,column,n_rows_data,n_rows_notna,enough_data,OLS,OLS + FE,Clustered SE,Permutation
1034,קריית מלאכי,2012.0,arrest,complete_roads_length_km,264,98,False,,,,
1034,קריית מלאכי,2013.0,conviction,complete_roads_length_km,264,98,False,,,,
2630,קריית גת,2009.0,conviction,complete_roads_length_km,264,136,False,,,,
2650,רמת השרון,2003.0,conviction,complete_roads_length_km,264,47,False,,,,
2650,רמת השרון,2013.0,indictment filed,complete_roads_length_km,264,47,False,,,,
2650,רמת השרון,2014.0,conviction,complete_roads_length_km,264,47,False,,,,
3000,ירושלים,2010.0,arrest,complete_roads_length_km,264,208,False,,,,
3000,ירושלים,2012.0,indictment filed,complete_roads_length_km,264,208,False,,,,
3000,ירושלים,2014.0,conviction,complete_roads_length_km,264,208,True,0.0722276353052204,0.029156544802217427,4.214130470783233e-05,0.11
6200,בת ים,2009.0,arrest,complete_roads_length_km,264,130,False,,,,
6200,בת ים,2013.0,indictment filed,complete_roads_length_km,264,130,False,,,,
6200,בת ים,2014.0,conviction,complete_roads_length_km,264,130,False,,,,
6500,חדרה,2005.0,conviction,complete_roads_length_km,264,136,False,,,,
6700,טבריה,2007.0,arrest,complete_roads_length_km,264,116,False,,,,
6700,טבריה,2010.0,indictment filed,complete_roads_length_km,264,116,False,,,,
6700,טבריה,2011.0,indictment filed,complete_roads_length_km,264,116,False,,,,
6700,טבריה,2015.0,conviction,complete_roads_length_km,264,116,False,,,,
6900,כפר סבא,2017.0,arrest,complete_roads_length_km,264,134,False,,,,
6900,כפר סבא,2018.0,indictment filed,complete_roads_length_km,264,134,False,,,,
6900,כפר סבא,2021.0,conviction,complete_roads_length_km,264,134,False,,,,
7000,לוד,2006.0,arrest,complete_roads_length_km,264,141,False,,,,
7000,לוד,2006.0,indictment filed,complete_roads_length_km,264,141,False,,,,
7000,לוד,2010.0,conviction,complete_roads_length_km,264,141,False,,,,
7100,אשקלון,2016.0,arrest,complete_roads_length_km,264,159,False,,,,
7100,אשקלון,2017.0,indictment filed,complete_roads_length_km,264,159,False,,,,
7100,אשקלון,2019.0,conviction,complete_roads_length_km,264,159,False,,,,
8000,צפת,2016.0,conviction,complete_roads_length_km,264,68,False,,,,
8400,רחובות,2008.0,conviction,complete_roads_length_km,264,122,False,,,,
8600,רמת גן,2013.0,indictment filed,complete_roads_length_km,264,160,False,,,,
8600,רמת גן,2015.0,conviction,complete_roads_length_km,264,160,False,,,,
9100,נהרייה,2008.0,conviction,complete_roads_length_km,264,131,False,,,,
